#L	H	K	Y	I	error	LB	dL
-10.0	-0.0	-0.0	-0.0	-0.013897659412363124	-0.0139013860661454	-0.0	-0.0
-9.974974974974975	-0.0	-0.0	-0.0	0.010237728929295562	0.010233761989329895	-0.0	-0.0
-9.94994994994995	-0.0	-0.0	-0.0	-0.017433197668846587	-0.017437419727034737	-0.0	-0.0
-9.924924924924925	-0.0	-0.0	-0.0	0.007452548439440181	0.007448055559572182	-0.0	-0.0
-9.8998998998999	-0.0	-0.0	-0.0	0.03279337865246142	0.032788598327680364	-0.0	-0.0
-9.874874874874875	-0.0	-0.0	-0.0	-0.017980549109320766	-0.01798563447288899	-0.0	-0.0
-9.84984984984985	-0.0	-0.0	-0.0	0.01109368184383171	0.011088272823469244	-0.0	-0.0
-9.824824824824825	-0.0	-0.0	-0.0	0.004877096711066853	0.004871344335526328	-0.0	-0.0
-9.7997997997998	-0.0	-0.0	-0.0	0.046982009262653925	0.04697589269404942	-0.0	-0.0
-9.774774774774775	-0.0	-0.0	-0.0	0.009083476393552045	0.009076973592353118	-0.0	-0.0
-9.74974974974975	-0.0	-0.0	-0.0	-0.01772433950607609	-0.017731251846344914	-0.0	-0.0
-9.724724724724725	-0.0	-0.0	-0.0	0.02124246319078016	0.021235116669415317	-0.0	-0.0
-9.6996996996997	-0.0	-0.0	-0.0	-0.0275358554279812	-0.02754366218008254	-0.0	-0.0
-9.674674674674675	-0.0	-0.0	-0.0	-0.016298445859874573	-0.016306740375648405	-0.0	-0.0
-9.64964964964965	-0.0	-0.0	-0.0	0.02523155468392904	0.025222743308786773	-0.0	-0.0
-9.624624624624625	-0.0	-0.0	-0.0	-0.0012614381692456643	-0.0012707971456325181	-0.0	-0.0
-9.5995995995996	-0.0	-0.0	-0.0	0.025025481060575595	0.02501554200733222	-0.0	-0.0
-9.574574574574575	-0.0	-0.0	-0.0	-0.006920354215546282	-0.006930907646871505	-0.0	-0.0
-9.54954954954955	-0.0	-0.0	-0.0	0.030595180174133124	0.030583976141493628	-0.0	-0.0
-9.524524524524525	-0.0	-0.0	-0.0	-0.0017186120551172706	-0.001730504935422159	-0.0	-0.0
-9.4994994994995	-0.0	-0.0	-0.0	-0.02059991557126649	-0.020612537674745707	-0.0	-0.0
-9.474474474474475	-0.0	-0.0	-0.0	0.019810515223897776	0.01979712128139298	-0.0	-0.0
-9.44944944944945	-0.0	-0.0	-0.0	0.014846035219709626	0.014831824465429626	-0.0	-0.0
-9.424424424424425	-0.0	-0.0	-0.0	-0.03231600715911566	-0.032331082176981434	-0.0	-0.0
-9.3993993993994	-0.0	-0.0	-0.0	0.0307288446477183	0.030712855307382336	-0.0	-0.0
-9.374374374374375	-0.0	-0.0	-0.0	-0.03008423966025017	-0.030101196123130846	-0.0	-0.0
-9.34934934934935	-0.0	-0.0	-0.0	0.005194354299393802	0.005176375032221593	-0.0	-0.0
-9.324324324324325	-0.0	-0.0	-0.0	0.02944346249595331	0.029424401713950065	-0.0	-0.0
-9.2992992992993	-0.0	-0.0	-0.0	-0.03429113560779603	-0.034311339798003444	-0.0	-0.0
-9.274274274274275	-0.0	-0.0	-0.0	0.006515759156034349	0.0064943463201618395	-0.0	-0.0
-9.24924924924925	-0.0	-0.0	-0.0	0.031491663985809826	0.0314689737539528	-0.0	-0.0
-9.224224224224224	-0.0	-0.0	-0.0	0.01215097212298461	0.012126932055363674	-0.0	-0.0
-9.1991991991992	-0.0	-0.0	-0.0	0.012161778376543959	0.012136312159162083	-0.0	-0.0
-9.174174174174174	-0.0	-0.0	-0.0	0.01700573090829613	0.01697875815968775	-0.0	-0.0
-9.14914914914915	-0.0	-0.0	-0.0	0.022461804203345676	0.022433240272483806	-0.0	-0.0
-9.124124124124124	-0.0	-0.0	-0.0	0.008321132140608976	0.00829088789560935	-0.0	-0.0
-9.0990990990991	-0.0	-0.0	-0.0	0.015623840658747112	0.015591822265995937	-0.0	-0.0
-9.074074074074074	-0.0	-0.0	-0.0	-0.014930601765984082	-0.014964493072664937	-0.0	-0.0
-9.04904904904905	-0.0	-0.0	-0.0	0.03254824204909418	0.03251237388854455	-0.0	-0.0
-9.024024024024024	-0.0	-0.0	-0.0	0.00799824559830521	0.007960291218215594	-0.0	-0.0
-8.998998998999	-0.0	-0.0	-0.0	0.010032135803247778	0.009991980149042819	-0.0	-0.0
-8.973973973973974	-0.0	-0.0	-0.0	-0.01530858986914462	-0.015351067815757822	-0.0	-0.0
-8.94894894894895	-0.0	-0.0	-0.0	0.003203614852267963	0.0031586873443265346	-0.0	-0.0
-8.923923923923924	-0.0	-0.0	-0.0	0.005324072760358229	0.005276561872066304	-0.0	-0.0
